broker_id,broker_name_master,city
8580,聯邦商銀,台北市
8581,聯邦-高雄,高雄市
8582,聯邦-嘉義,嘉義縣
8583,聯邦-忠孝,台北市
8584,聯邦-雙和,新北市
8585,聯邦-三重,新北市
8586,聯邦-大業,桃園市
8587,聯邦-興中,台中市
8588,聯邦-台南,台南市
8710,陽信,台北市
8711,陽信-石牌,台北市
8713,陽信-高雄,高雄市
8714,陽信-台南,台南市
8715,陽信-台中,台中市
8840,玉山,台北市
8841,玉山-雙和,新北市
8842,玉山-新莊,新北市
8843,玉山-高雄,高雄市
8846,玉山-板橋,新北市
8847,玉山-台南,台南市
8848,玉山-嘉義,嘉義市
8849,玉山-景美,台北市
884A,玉山-士林,台北市
884B,玉山-台中,台中市
884C,玉山-信義,台北市
884D,玉山-左營,高雄市
884E,玉山-城中,台北市
884F,玉山-桃園,桃園市
884H,玉山-新竹,新竹市
884J,玉山-大里,台中市
884L,玉山-國際證券,台北市
884M,玉山-數位,台北市
8880,國泰,台北市
8881,國泰-高雄,高雄市
8882,國泰-台中,台中市
8883,國泰-松江,台北市
8884,國泰-台南,台南市
8885,國泰-桃園,桃園市
8886,國泰-新莊,新北市
8887,國泰-忠孝,台北市
8888/8889,國泰-敦南,台北市
888A,國泰-館前,台北市
888K,國泰-板橋,新北市
888N,國泰-新竹,新竹縣
888Q,國泰-國際證券,台北市
8890,大和國泰,台北市
8900,法銀巴黎,台北市
8960,香港上海匯豐,台北市
9100,群益金鼎,台北市
9101,群益金鼎-敦南,台北市
9103,群益金鼎-松山,台北市
9105,群益金鼎-高盛,高雄市
9108,群益金鼎-海山,新北市
910D,群益金鼎-市府,台北市
9131,群益金鼎-民權,台中市
9134,群益金鼎-開元,台南市
9135,群益金鼎-東大,新竹市
9136,群益金鼎-西松,台北市
9137,群益金鼎-士林,台北市
9138,群益金鼎-中港,台中市
913D,群益金鼎-潭子,台中市
913E,群益金鼎-基隆,基隆市
913H,群益金鼎-屏東,屏東縣
913I,群益金鼎-萬華,台北市
913N,群益金鼎-土城,新北市
913R,群益金鼎-北高雄,高雄市
913U,群益金鼎-崇德,台中市
913Y,群益金鼎-館前,台北市
913g,群益金鼎-三重,新北市
9183,群益金鼎-高雄,高雄市
9184,群益金鼎-台中,台中市
9185,群益金鼎-台南,台南市
9186,群益金鼎-新竹,新竹市
9187,群益金鼎-彰化,彰化縣
9188,群益金鼎-三民,高雄市
9189,群益金鼎-桃園,桃園市
918A,群益金鼎-中壢,桃園市
918B,群益金鼎-板橋,新北市
918C,群益金鼎-古亭,台北市
918D,群益金鼎-東門,台南市
918E,群益金鼎-南京,台北市
918F,群益金鼎-新店,
918G,群益金鼎-新莊,新北市
918H,群益金鼎-中山,台北市
918J,群益金鼎-永和,新北市
918K,群益金鼎-東湖,台北市
918L,群益金鼎-建成,台中市
918M,群益金鼎-嘉義,嘉義市
918P,群益金鼎-天母,台北市
918W,群益金鼎-忠孝,台北市
918X,群益金鼎-台北,台北市
918c,群益金鼎-鳳山,高雄市
918d,群益金鼎-內湖,台北市
918e,群益金鼎-大安,台北市
918g,群益金鼎-大甲,台中市
918i,群益金鼎-竹南,苗栗縣
918s,群益金鼎-丹鳳,新北市
918u,群益金鼎-瑞豐,高雄市
918x,群益金鼎-延平,台北市
918z,群益金鼎-宜蘭,宜蘭縣
9199,群益金鼎-國際證券,台北市
9200,凱基,台北市
9202,凱基-中港,台中市
9204,凱基-台中,台中市
9205,凱基-三重,新北市
9206,凱基-高雄,高雄市
9207,凱基-永和,新北市
9208,凱基-桃園,桃園市
9209,凱基-岡山,高雄市
920A,凱基-板橋,新北市
920C,凱基-雙和,新北市
920D,凱基-市府,台北市
920F,凱基-站前,台北市
920G,凱基-彰化,彰化市
920H,凱基-基隆,基隆市
920M,凱基-宜蘭,宜蘭市
920N,凱基-湖口,新竹縣
920V,凱基-新店,新北市
920W,凱基-大里,台中市
920Z,凱基-台東,台東縣
9211,凱基-台南,台南市
9212,凱基-東港,屏東縣
9215,凱基-高美館,高雄市
9216,凱基-信義,台北市
9217,凱基-松山,台北市
9218,凱基-大直,台北市
921C,凱基-民權,台北市
921E,凱基-三峽,新北市
921G,凱基-五股,新北市
921J,凱基-土城,新北市
921M,凱基-八德,桃園市
921S,凱基-新莊,新北市
921Y,凱基-東勢,台中市
9223,凱基-豐中,台中市
9225,凱基-內埔,屏東縣
9226,凱基-汐止,新北市
9227,凱基-城中,台北市
9229,凱基-中山,台北市
922C,凱基-屏東,屏東縣
9231,凱基-員林,彰化縣
9233,凱基-長庚,桃園市
9234,凱基-竹北,新竹縣
9235,凱基-永華,台南市
9236,凱基-虎尾,雲林縣
9237,凱基-敦北,台北市
9238,凱基-士林,台北市
9239,凱基-市政,台中市
9252,凱基-嘉義,嘉義市
9254,凱基-科園,新竹市
9255,凱基-和平,台北市
9256,凱基-南崁,桃園市
9257,凱基-林口,新北市
9258,凱基-羅東,宜蘭縣
9266,凱基-新豐,新竹縣
9268,凱基-台北,台北市
9272,凱基-竹科,新竹市
9273,凱基-竹東,新竹縣
9274,凱基-鳳山,高雄市
9275,凱基-三多,高雄市
9276,凱基-苗栗,苗栗市
9278,凱基-永康,台南市
9281,凱基-斗六,雲林縣
9283,凱基-北門,台南市
9285,凱基-中壢,桃園市
9287,凱基-內湖,台北市
9288,凱基-埔墘,新北市
9289,凱基-興隆,台北市
9291,凱基-大安,台北市
9296,凱基-頭份,苗栗縣
9297,凱基-文心,台中市
9299,凱基-國際證券,台北市
9300,華南永昌,台北市
9302,華南永昌-台中,台中市
9303,華南永昌-高雄,高雄市
9305,華南永昌-新莊,新北市
9306,華南永昌-台南,台南市
9307,華南永昌-大安,台北市
9308,華南永昌-麻豆,台南市
9309,華南永昌-古亭,台北市
9312,華南永昌-民權,高雄市
9314,華南永昌-嘉義,嘉義市
9315,華南永昌-大甲,台中市
9316,華南永昌-淡水,新北市
9317,華南永昌-林口,新北市
9319,華南永昌-鶯歌,新北市
9322,華南永昌-基隆,基隆市
9323,華南永昌-小港,高雄市
9324,華南永昌-岡山,高雄市
9325,華南永昌-忠孝,台北市
9326,華南永昌-南京,台北市
9327,華南永昌-斗六,雲林縣
9328,華南永昌-潮州,屏東縣
9329,華南永昌-朴子,嘉義縣
9331,華南永昌-鳳山,高雄市
9332,華南永昌-楠梓,高雄市
9333,華南永昌-長虹,宜蘭縣
9334,華南永昌-世貿,台北市
9337,華南永昌-內壢,桃園市
9339,華南永昌-竹北,新竹縣
9343,華南永昌-頭份,苗栗縣
9347,華南永昌-敦南,台北市
9349,華南永昌-板橋,新北市
9352,華南永昌-桃園,桃園市
9358,華南永昌-東勢,台中市
9359,華南永昌-中正,台北市
9362,華南永昌-苗栗,苗栗縣
9363,華南永昌-彰化,彰化縣
9366,華南永昌-豐原,台中市
9369,華南永昌-三重,新北市
9377,華南永昌-虎尾,雲林縣
9386,華南永昌-東昇,台東市
9399,華南永昌-國際證券,台北市
9600,富邦,台北市
9604,富邦-陽明,台北市
9608,富邦-台東,台東市
960S,富邦-國際證券,台北市
9614,富邦-基隆,基隆市
9616,富邦-岡山,高雄市
961C,富邦-南京,北市
961F,富邦-公益,台中市
961H,富邦-新板,新北市
961K,富邦-七賢,高雄市
961M,富邦-木柵,台北市
961N,富邦-青埔,桃園市
961P,富邦-和美,彰化縣
961R,富邦-南員林,彰化縣
961Y,富邦-屏東,屏東市
961Z,富邦-永康,台南市
9621,富邦-花蓮,花蓮縣
9623,富邦-台北,台北市
9624,富邦-竹北,新竹縣
9625,富邦-竹東,新竹縣
9627,富邦-內湖,台北市
962A,富邦-南港,台北市
962B,富邦-二林,彰化縣
962C,富邦-竹科,新竹市
962D,富邦-新莊,新北市
962E,富邦-樹林,新北市
962G,富邦-斗六,雲林縣
962J,富邦-三峽,新北市
962P,富邦-頭份,苗栗縣
962Q,富邦-北高雄,高雄市
9634,富邦-羅東,宜蘭縣
9636,富邦-中壢,桃園市
963A,富邦-八德,桃園市
963L,富邦-豐原,台中市
9647,富邦-新竹,新竹市
9654,富邦-永和,新北市
9655,富邦-板橋,新北市
9657,富邦-苗栗,苗栗縣
9658,富邦-建國,台北市
9659,富邦-高雄,高雄市
965K,富邦-台中,台中市
965U,富邦-彰化,彰化市
9661,富邦-新店,新北市
9663,富邦-敦南,台北市
9665,富邦-桃園,桃園市
9666,富邦-南屯,台中市
9667,富邦-台南,台南市
966F,富邦-左營,高雄市
9672,富邦-員林,彰化縣
9676,富邦-仁愛,台北市
9677,富邦-三重,新北市
9686,富邦-宜蘭,宜蘭縣
9692,富邦-嘉義,嘉義市
9693,富邦-新營,台南縣
9697,富邦-虎尾,雲林縣
969C,富邦-北港,雲林縣
9800,元大,台北市
9801,元大-松江,台北市
980C,元大- 斗六,雲林縣
980D,元大-北府,台南市
980K,元大-竹科,新竹市
980Q,元大-南崁,桃園市
980R,元大-南海,台北市
980a,元大-中山北路,台北市
980d,元大-沙鹿,台中市
980e,元大-清水,台中市
980h,元大-台北,台北市
980l,元大-虎尾,雲林縣
980u,元大-府城,台南市
980w,元大-西屯,台中市
9812,元大-台中,台中市
9813,元大-中崙,台北市
9814,元大-大益,台南市
9815,元大-大灣,台南市
9816,元大-新竹,新竹市
9817,元大-東泰,高雄市
981A,元大-三峽,新北市
981B,元大-竹北,新竹縣
981C,元大-路竹,高雄市
981D,元大-南投,南投縣
981E,元大-發財,新北市
981F,元大-福營,新北市
981G,元大-彰化,彰化縣
981I,元大-天母,台北市
981K,元大-林園,高雄市
981L,元大-莒光,高雄市
981M,元大-苗栗,苗栗縣
981N,元大-金門,金門縣
981Q,元大-太平,台中市
981R,元大-竹山,南投縣
981S,元大-崇德,台中市
981U,元大-華山,台北市
981V,元大-民雄,嘉義縣
981X,元大-新生,台北市
981Z,元大-潮州,屏東縣
981a,元大-歸仁,台南市
981e,元大-佳里,台南市
981g,元大-大里,台中市
981h,元大-屏東民生,屏東縣
981i,元大-西螺,雲林縣
981j,元大-士林,台北市
981m,元大-高雄,高雄市
981n,元大-旗山,高雄市
981p,元大-松山,台北市
981q,元大-萬華,台北市
981r,元大-屏南,屏東縣
981y,元大-善化,台南市
981z,元大-大統,新竹市
9822,元大-土城學府,新北市
9824,元大-向上,台中市
9825,元大-新營,台南市
9829,元大-永康,台南市
982A,元大-羅東,宜蘭縣
982B,元大-博愛,高雄市
982C,元大-六合,高雄市
982F,元大-忠孝鼎富,台北市
9831,元大-四維,高雄市
