公司代號,公司簡稱,產業別,住址,發言人,實收資本額,已發行普通股數
6510,精測,24,桃園巿平鎮區工業三路15號,黃水可,"$327,890,220","32,789,022"
6512,啟發電,31,新竹縣竹北市復興一街251號5樓之1,吳佳芳,"$252,600,000","25,260,000"
6516,勤崴國際,30,台北市中正區羅斯福路二段100號4樓,黃晟中,"$563,369,350","56,336,935"
6517,保勝光學,26,台中市潭子區建國路14號,黃雅蓉,"$305,790,530","30,579,053"
6523,達爾膚,22,台北市中山區南京東路三段70號13樓,鄭淑菁,"$450,476,250","45,047,625"
6527,明達醫,22,桃園市桃園區中山路956巷116號,莊仲平,"$254,585,500","25,458,550"
6530,創威,27,新北市新店區寶中路119號6樓,陳鵬宇,"$337,500,000","33,750,000"
6532,瑞耘,24,新竹縣湖口鄉新竹工業區大同路19號,呂學恒,"$374,451,470","37,445,147"
6535,順藥,22,台北市南港區園區街3-2號4樓,班韜,"$1,688,168,250","168,816,825"
6538,倉和,28,桃園市龜山區萬壽路一段492之16號3樓,李正&#29641;,"$380,730,000","38,073,000"
6542,隆中,32,臺中市北區健行路360號2樓之3,蘇建東,"$420,006,300","42,000,630"
6546,正基,27,新竹縣竹北市環科一路23號六樓之二,魏瀅洳,"$668,484,490","66,848,449"
6547,高端疫苗,22,新竹科學工業園區新竹縣竹北市生醫三路68號,李思賢,"$3,287,490,500","328,749,050"
6548,長科*,24,高雄市楠梓區開發路24號,顏淑萍,"$380,195,480","950,488,700"
6556,勝品,26,桃園市桃園區大誠路 10 號,林貞宏,"$287,500,000","28,750,000"
6560,欣普羅,26,新北市新莊區思源路23號6F,劉繼鴻,"$324,747,150","32,474,715"
6561,是方,27,台北市內湖區瑞光路68號2樓,劉耀元,"$779,583,700","77,958,370"
6568,宏觀,24,新竹縣竹北市成功十二街28號8樓,陳俊傑,"$308,290,000","30,829,000"
6569,醫揚,22,新北市新店區寶橋路235巷135號4樓,陳盈德,"$390,707,450","39,070,745"
6570,維田,25,新北市中和區建一路186號15樓之1,劉則瑩,"$371,191,700","37,119,170"
6574,霈方,22,台北市大安區忠孝東路四段310號6樓,呂慶盛,"$219,900,000","21,990,000"
6576,逸達,22,台北市南港區三重路19-3號9樓之2,詹孟恭,"$1,574,937,630","157,493,763"
6577,勁豐,25,台北市內湖區環山路一段30號1樓,杜懷琪,"$600,601,450","60,060,145"
6578,達邦蛋白,33,台南市安南區工業三路52號,陳威辰,"$719,419,010","71,941,901"
6584,南俊國際,28,桃園市桃園區幸福路202號6樓,吳仁山,"$667,625,110","66,762,511"
6588,東典光電,27,宜蘭縣五結鄉利工一路二段70號,翁誠懋,"$347,008,250","34,700,825"
6590,普鴻,30,台北市松山區光復南路1號9樓之2,黃可清,"$249,640,380","24,964,038"
6593,台灣銘板,30,桃園市龜山區華亞一路36號,蘇文輝,"$309,114,720","30,911,472"
6596,寬宏藝術,32,臺北市中山區樂群二路267號6樓,汪聖柏,"$380,000,000","38,000,000"
6597,立誠,28,桃園市蘆竹區南山路二段303號2樓,孫思隆,"$300,422,500","30,042,250"
6603,富強鑫,5,台南市關廟區埤頭里保東路269號,張銀鶯,"$1,672,205,920","167,220,592"
6609,瀧澤科,5,桃園市平鎮區延平路三段505號,林振詠,"$724,562,460","72,456,246"
6612,奈米醫材,22,新竹縣竹北市生醫路2段16號4樓,陳丹荔,"$475,145,840","47,514,584"
6613,朋億*,31,新竹縣竹北市嘉豐南路二段76號10樓之1,馬蔚,"$389,007,425","77,801,485"
6615,慧智,22,台北市中正區重慶南路1段66之1號4樓之2,洪加政,"$215,934,000","21,593,400"
6616,特昇-KY,38,"4F,Harbour Place,103 South Church St,POBox10240 CaymanIsland",余麗群,"$354,784,730","35,478,473"
6617,共信-KY,22,"P.O.Box 32052, Grand Cayman KY1-1208, Cayman Islands",林懋元,"$1,275,061,000","127,506,100"
6620,漢達,22,南部科學園區 臺南市新市區南科三路23號3樓之1、3樓之2,楊啟余,"$1,699,831,000","169,983,100"
6624,萬年清,35,台中市西屯區龍富路五段261號,曾曉文,"$224,366,280","22,436,628"
6629,泰金-KY,38,台北市中山區松江路152號13樓,黃晟修,"$383,712,180","38,371,218"
6637,醫影,22,台北巿信義區忠孝東路五段510號19樓之2,車昕穎,"$268,100,000","26,810,000"
6640,均華,24,新北市土城區民生街2-1號,石敦智,"$282,765,000","28,276,500"
6642,富致,28,新北市五股區五工一路111號,吳敏男,"$373,996,620","37,399,662"
6643,M31,24,新竹縣竹北市台元二街8號9樓,蘇芷儀,"$417,981,600","41,798,160"
6649,台生材,22,新竹科學園區新竹縣竹北市生醫路一段188號1樓,王文熙,"$420,000,000","42,000,000"
6651,全宇昕,24,新北市中和區中正路716號15樓之7,李徐華,"$346,015,410","34,601,541"
6654,天正國際,31,高雄市仁武區仁發六路2號,郭彥甫,"$409,627,200","40,962,720"
6661,威健生技,22,台北市南港區園區街3號12樓,陳盈任,"$233,042,480","23,304,248"
6662,樂斯科,22,台北市南港區重陽路316號2樓,陳永煥,"$256,124,000","25,612,400"
6664,群翊,28,桃園市楊梅區和平路188號,余添和,"$608,065,700","60,806,570"
6667,信紘科,31,苗栗縣竹南鎮公義里友義路66號,王怡文,"$492,788,780","49,278,878"
6679,鈺太,24,新竹科學園區篤行路6-1號5樓,林俊弘,"$549,753,350","54,975,335"
6680,鑫創電子,25,新北市中和區中原街95號8樓,張甄珍,"$238,712,100","23,871,210"
6683,雍智科技,24,新竹縣竹北市環科一路33號九樓之二,黃榮彬,"$275,571,610","27,557,161"
6684,安格,24,新竹縣竹北市高鐵二路55號,呂妍儀,"$445,594,960","44,559,496"
6690,安碁資訊,36,臺北市南港區南港路三段9號13樓,譚百良,"$299,997,200","29,999,720"
6692,進能服,35,臺北市內湖區新湖二路257號6樓,厲國欽,"$588,238,900","58,823,890"
6693,廣閎科,24,新竹縣竹北市台元二街8號8樓之3,潘嘉君,"$457,200,000","45,720,000"
6697,東捷資訊,30,台北市南港區三重路19-8號5樓,黃錦郎,"$273,233,640","27,323,364"
6703,軒郁,22,台北市松山區民生東路三段109號5樓,陳慧玲,"$329,838,270","32,983,827"
6708,天擎,24,新竹科學園區新竹市力行一路1號3樓C5室,何宗明,"$290,087,790","29,008,779"
6712,長聖,22,中部科學工業園區臺中市大雅區科雅路30號4樓,許錦婷,"$969,209,630","96,920,963"
6716,應廣,24,新竹市公道五路三段1號6樓之6,李仁修,"$302,773,140","30,277,314"
6720,久昌,24,新竹科學園區新竹市東區篤行路6-1號2樓,吳孟家,"$300,817,410","30,081,741"
6721,信實,20,新竹縣竹北市台元二街8號6樓之一,趙雪吟,"$225,000,000","22,500,000"
6725,矽科宏晟,31,新竹縣竹北市竹北里台元一街5號13樓之2,柯燦塗,"$371,300,000","37,130,000"
6727,亞泰金屬,28,桃園市楊梅區民富路二段199巷16號,梁秀如,"$268,841,770","26,884,177"
6728,上洋,38,新北市五股區五權六路39號,吳國華,"$301,100,000","30,110,000"
6730,常廣,22,台中市大甲區工一路29號,陳正雄,"$362,981,510","36,298,151"
6732,昇佳電子,24,新竹縣竹北市台元二街6號11樓,魏良光,"$489,126,180","48,912,618"
6733,博晟生醫,22,台北市南港區園區街3之2號4樓,趙叔威,"$1,243,560,260","124,356,026"
6735,美達科技,31,新北市中和區連城路268號15樓,王羿人,"$461,822,920","46,182,292"
6739,竹陞科技,31,新竹縣竹北市保泰六路1號1樓,劉冠君,"$233,682,500","23,368,250"
6741,91APP*-KY,36,"P.O. Box 10655, Grand Cayman, KY1-1006, Cayman Islands",楊明芳,"$602,889,985","120,577,997"
6751,智聯服務,30,新竹縣竹北市環科一路33號6樓之3,韓政達,"$222,000,000","22,200,000"
6752,叡揚,30,台北市中山區德惠街9號5樓,林秋丹,"$371,441,470","37,144,147"
6761,穩得,28,新北市新店區寶橋路188號6樓及6樓之1,楊正男,"$349,558,670","34,955,867"
6762,達亞,22,桃園市蘆竹區南山路一段200號,魏鴻文,"$351,717,020","35,171,702"
6763,綠界科技*,36,台北市南港區三重路19-2號6樓之2,劉士維,"$184,039,130","184,039,130"
6767,台微醫,22,新竹科學園區新竹縣竹北市生醫路2段26號1樓,蘇義鈞,"$391,836,300","39,183,630"
6785,昱展新藥,22,台中市大雅區科雅路32號5樓,文永順,"$668,000,000","66,800,000"
6788,華景電,24,苗栗縣竹南鎮科義街41號,管恩虎,"$387,396,830","38,739,683"
6791,虎門科技,30,新北市板橋區縣民大道二段68號11樓,楊涪嵐,"$208,470,000","20,847,000"
6803,崑鼎,35,台北市北投區福善路16號12樓,刁秀華,"$726,541,800","72,654,180"
6804,明係,37,彰化縣大村鄉大橋村中山路三段1 號,吳佩純,"$350,000,000","35,000,000"
6811,宏碁資訊,36,台北市南港區南港路三段9號18樓,鄭和星,"$414,490,000","41,449,000"
6821,聯寶,28,新北市新店區寶橋路235巷125號5樓之2,譚偉傑,"$314,549,650","31,454,965"
6823,濾能,24,桃園市楊梅區中山里中山北路一段199巷98號2樓,葉博雅,"$305,084,750","30,508,475"
6829,千附精密,24,中部科學園區台中巿后里區后科南路28號,陳姝朱(代),"$591,690,000","59,169,000"
6840,東研信超,31,臺北市114內湖區舊宗路二段171巷18號4樓,張馨予,"$307,414,100","30,741,410"
6841,長佳智能,22,臺中市北屯區經貿路1段360號8樓,李友錚,"$951,980,000","95,198,000"
6843,進典,5,桃園市楊梅區青年路6-1號,黃彥文,"$333,040,000","33,304,000"
6844,諾貝兒,22,高雄市三民區大昌二路87號,許耀鴻,"$374,284,400","37,428,440"
6846,綠茵,2,台中市大雅區科雅路43號5樓,曾秋雪,"$270,282,190","27,028,219"
6855,數泓科,31,臺中市潭子區北環路15-1號,李明華,"$232,497,160","23,249,716"
6856,鑫傳,32,臺中市大里區國光路一段68號,王盛春,"$282,000,000","28,200,000"
6859,伯特光,26,台中市潭子區潭富路一段87巷35號,陳永軒,"$415,886,000","41,588,600"
6865,偉康科技,36,台北市松山區南京東路五段161號4樓,黃閔(糸秀),"$158,301,450","15,830,145"
6870,騰雲,36,新北市汐止區新台五路一段99號11樓之11,張婷婷,"$233,482,400","23,348,240"
6872,浩宇生醫,22,台北市南港區忠孝東路七段508號16樓,昌廷光,"$707,505,110","70,750,511"
6874,倍力,30,臺北市松山區南京東路四段16號12樓,陳信益,"$220,000,000","22,000,000"
6875,國邑*,22,台北市南港區忠孝東路七段508號11樓,甘霈,"$645,764,020","129,152,804"
6877,鏵友益,31,高雄市路竹區北嶺六路88號,瞿淑婷,"$469,671,220","46,967,122"
6881,潤德,20,台北市中山區八德路二段308號11樓之1,許茲榮,"$150,000,000","15,000,000"
6884,海柏特,30,新北市汐止區新台五路一段82號7樓,林俊男,"$183,900,000","18,390,000"
6894,衛司特,35,台中市西屯區何成里大墩19街186號12樓之1,林浚丞,"$238,000,000","23,800,000"
6895,宏碩系統,24,35151 苗栗縣頭份市中正路598巷31號,杜玉凌,"$341,000,000","34,100,000"
6899,創為精密,26,基隆市安樂區武訓街84號,&#28201;呈祥,"$423,984,910","42,398,491"
6903,巨漢,31,新竹市東區東園里中華路1段324號8樓,羅瑞鴻,"$666,760,000","66,676,000"
6904,伯鑫,20,台中市神岡區中山路893巷9-2號,吳昌旻,"$185,000,000","18,500,000"
6907,雅特力-KY,24,"PO Box 309, Ugland House, Grand Cayman, KY1-1104, Cayman",黃源旗,"$621,740,000","62,174,000"
6910,德鴻,36,台北市大同區重慶北路2段243號13樓,曾政行,"$305,210,000","30,521,000"
6913,鴻呈,28,新北市中和區中正路880號7樓,林星宏,"$438,488,630","43,848,863"
6922,宸曜,25,新北市中和區建八路198號11樓,藍林忠,"$271,553,850","27,155,385"
6925,意藍,36,台北市中正區杭州北路26號12樓,楊立偉,"$200,003,000","20,000,300"
6929,佑全,22,台中市西屯區台灣大道四段925號20樓之1,文德蘭,"$450,675,000","45,067,500"
6953,家碩,24,新竹縣竹北市嘉豐十一路一段117號,劉孟娟,"$300,146,000","30,014,600"
6961,旅天下,16,台北市中山區民生東路3段10號6樓,許哲郎,"$268,340,000","26,834,000"
6967,汎瑋材料,28,臺中市西屯區協和里工業區38路185之2號,李輝祥,"$249,044,770","24,904,477"
6968,萬達寵物,38,台北市中山區長安東路1段23號4樓之3,王湘志,"$494,473,330","49,447,333"
6971,惠民實業,35,台北市松山區民生東路三段135號5樓,楊仁彰,"$386,680,000","38,668,000"
6982,大井泵浦,5,新北市三芝區大片頭83之14號,張登溪,"$406,491,000","40,649,100"
6996,力領科技,24,新竹縣竹北市台元一街5號6樓之9,楊尚仁,"$420,053,330","42,005,333"
6997,博弘,36,臺北市中山區樂群二路267號5樓之8,何冠生,"$221,005,000","22,100,500"
7402,邑錡,26,台北市內湖區瑞光路588號9樓,周裕欽,"$352,796,220","35,279,622"
7547,碩網,36,新北市新店區北新路1段86號20樓,邱仁鈿,"$332,040,000","33,204,000"
7556,意德士科技,24,台北市民生東路二段170號4樓,莊雅月,"$273,196,630","27,319,663"
7584,樂意,32,新北市新店區北新路三段205-3號9樓,梁敏永,"$164,628,080","16,462,808"
7642,昶瑞機電,5,臺中市龍井區台西南路272號,呂志峰,"$301,500,000","30,150,000"
7703,銳澤,31,新竹縣竹北市嘉豐南路二段76號9樓之1,曾建程,"$347,450,000","34,745,000"
7704,明遠精密,24,新竹縣竹北市中和街191巷31號,洪本原,"$337,698,040","33,769,804"
7708,全家餐飲,16,台北市中山區中山北路二段61號3樓,辛紫綾,"$255,000,000","25,500,000"
7709,榮田,5,高雄市湖內區中山路二段6號,李振宏,"$391,027,400","39,102,740"
7712,博盛半導體,24,新竹縣竹北市高鐵二路３２號６樓之3,彭卓蘭,"$325,618,730","32,561,873"
7713,威力德生醫,22,高雄市三民區民族一路80號19樓之1、2,羅怡君,"$454,788,430","45,478,843"
7714,創泓科技,36,臺北市內湖區洲子街77號10樓,曾耀德,"$210,000,000","21,000,000"
