公司代號,公司簡稱,產業別,住址,發言人,實收資本額,已發行普通股數
7765,中華資安,36,台北市中正區杭州南路一段26號8樓,洪進福,"$406,770,000","40,677,000"
7769,鴻勁,24,臺中市大雅區中清路三段758巷11號,翁德奎,"$1,799,300,000","179,930,000"
7780,大研生醫*,2,臺北市大安區羅斯福路三段37號12樓,林東慶,"$810,024,170","810,024,170"
7786,東方風能,35,臺中市西屯區市政路386號19樓之1,陳柏霖,"$1,753,614,440","175,361,444"
7788,松川精密,28,新北市樹林區中華路377號,吳頌仁,"$797,459,930","79,745,993"
7791,皇家可口,2,台北市大同區重慶北路3段338號4樓,周明芬,"$800,000,000","80,000,000"
7795,長廣,28,高雄市大寮區裕民街30號,吳志軒,"$788,285,000","78,828,500"
7799,禾榮科,22,新竹科學園區新竹縣竹北市生醫五路66之2號,王文振,"$1,575,120,000","157,512,000"
7823,奧義賽博-KY創,36,新北市板橋區遠東路1號6樓,吳明蔚,"$334,908,900","33,490,890"
8011,台通,27,新北市新莊區福慧路219號9樓,鄭鈺穎,"$1,659,218,910","165,921,891"
8016,矽創,24,新竹縣竹北市台元一街5號11樓之1,黃英記,"$1,201,368,760","120,136,876"
8021,尖點,31,新北市樹林區佳園路三段203號,張家齊,"$1,420,424,670","142,042,467"
8028,昇陽半導體,24,新竹科學園區新竹市力行路6號,黃豐年,"$1,740,736,770","174,073,677"
8033,雷虎,20,台中巿工業區六路七號,卓宜儒,"$1,526,297,750","152,629,775"
8039,台虹,28,高雄市前鎮區環區三路一號,潘祈愿,"$2,627,429,940","262,742,994"
8045,達運光電,27,新北市新北產業園區五工六路41號,戴國源,"$950,248,150","95,024,815"
8046,南電,28,桃園市蘆竹區南崁路一段338號,呂連瑞,"$6,461,654,870","646,165,487"
8070,長華*,29,高雄市楠梓區東七街16號6樓,陳明軒,"$725,648,455","725,648,455"
8072,陞泰,29,台北市南港區三重路19-11號E棟10樓,陳純平,"$800,000,000","80,000,000"
8081,致新,24,新竹市科學園區工業東三路2號,吳錦川,"$861,720,720","86,172,072"
8101,華冠,27,台北市內湖區瑞光路258巷2號7樓,何文魁,"$464,662,160","46,466,216"
8103,瀚荃,28,新北市淡水區中正東路一段3巷9號9樓,王霈蓮,"$784,366,710","78,436,671"
8104,錸寶,26,新竹縣湖口鄉新竹工業區光復北路12號,王鼎章,"$1,040,581,920","104,058,192"
8105,凌巨,26,苗栗縣頭份市蘆竹里4鄰工業路15號,陳力文,"$4,415,448,510","441,544,851"
8110,華東,24,高雄市前鎮區北一路18號,黃靖窈,"$5,177,398,760","517,739,876"
8112,至上,29,台北市內湖區港墘路189號7樓,張家瑋,"$5,552,916,980","525,291,698"
8114,振樺電,25,新北市土城區大同街23號,郭育聞,"$1,075,719,190","76,418,772"
8131,福懋科,24,雲林縣斗六市榴中里河南街329號,張憲正,"$4,422,222,230","442,222,223"
8150,南茂,24,新竹科學園區新竹縣研發一路一號,黃國樑,"$7,045,231,260","704,523,126"
8162,微矽電子-創,24,新竹縣竹東鎮沿河街395號,王志成,"$687,020,000","68,702,000"
8163,達方,25,桃園市龜山區山鶯路167-1號,林豐正,"$2,800,000,010","280,000,001"
8201,無敵,31,台北市北投區北投路二段13號4樓之1,李圍正,"$623,662,750","62,366,275"
8210,勤誠,25,新北市新莊區中原路558號18樓,陳亞男,"$1,253,191,460","125,319,146"
8213,志超,28,桃園市平鎮區工業二路１２號,胡秀杏,"$2,712,424,880","271,242,488"
8215,明基材,26,桃園市龜山區建國東路29號,王勝興,"$3,206,745,140","320,674,514"
8222,寶一,5,台南市新營區新工路13巷1號,胡淑賢,"$685,735,000","68,573,500"
8249,菱光,28,台北市內湖區南京東路六段501號9樓,魏耀明,"$1,378,245,000","137,824,500"
8261,富鼎,24,新竹縣竹北市台元一街5號12樓之1及12樓之2,張嘉帥,"$1,188,783,930","118,878,393"
